DATE,DEXCHUS
2/7/11,6.56
2/8/11,6.552
2/9/11,6.5914
2/10/11,6.5864
2/11/11,6.5917
2/14/11,6.5965
2/15/11,6.5884
2/16/11,6.5884
2/17/11,6.585
2/18/11,6.5731
2/22/11,6.5795
2/23/11,6.5741
2/24/11,6.572
2/25/11,6.5749
2/28/11,6.5713
3/1/11,6.57
3/2/11,6.5723
3/3/11,6.5717
3/4/11,6.567
3/7/11,6.554
3/8/11,6.5684
3/9/11,6.558
3/10/11,6.5731
3/11/11,6.5742
3/14/11,6.5696
3/15/11,6.573
3/16/11,6.5713
3/17/11,6.5743
3/18/11,6.5689
3/21/11,6.5635
3/22/11,6.551
3/23/11,6.5591
3/24/11,6.558
3/25/11,6.5568
3/28/11,6.5643
3/29/11,6.56
3/30/11,6.5558
3/31/11,6.5483
4/1/11,6.5477
4/4/11,6.5385
4/5/11,6.539
4/6/11,6.544
4/7/11,6.542
4/8/11,6.535
4/11/11,6.5381
4/12/11,6.5402
4/13/11,6.5333
4/14/11,6.531
4/15/11,6.5317
4/18/11,6.5286
4/19/11,6.5303
4/20/11,6.5254
4/21/11,6.492
4/25/11,6.5277
4/26/11,6.527
4/27/11,6.5112
4/28/11,6.501
4/29/11,6.49
5/2/11,6.492
5/3/11,6.4955
5/4/11,6.4925
5/5/11,6.4931
5/6/11,6.4925
5/9/11,6.4937
5/10/11,6.4915
5/11/11,6.4915
5/12/11,6.4986
5/13/11,6.4977
5/16/11,6.5073
5/17/11,6.5057
5/18/11,6.5029
5/19/11,6.5042
5/20/11,6.4917
5/23/11,6.505
5/24/11,6.499
5/25/11,6.493
5/26/11,6.4913
5/27/11,6.492
5/31/11,6.4786
6/1/11,6.478
6/2/11,6.4824
6/3/11,6.4796
6/6/11,6.4796
6/7/11,6.481
6/8/11,6.4754
6/9/11,6.4757
6/10/11,6.4801
6/13/11,6.483
6/14/11,6.4794
6/15/11,6.482
6/16/11,6.4746
6/17/11,6.47
6/20/11,6.472
6/21/11,6.465
6/22/11,6.4628
6/23/11,6.4676
6/24/11,6.4737
6/27/11,6.4815
6/28/11,6.4699
6/29/11,6.4633
6/30/11,6.4635
7/1/11,6.4645
7/5/11,6.466
7/6/11,6.467
7/7/11,6.4655
7/8/11,6.4645
7/11/11,6.4671
7/12/11,6.472
7/13/11,6.4675
7/14/11,6.459
7/15/11,6.461
7/18/11,6.4688
7/19/11,6.4631
7/20/11,6.4581
7/21/11,6.4535
7/22/11,6.4464
7/25/11,6.445
7/26/11,6.4411
7/27/11,6.4428
7/28/11,6.4418
7/29/11,6.436
8/1/11,6.4337
8/2/11,6.4379
8/3/11,6.434
8/4/11,6.4377
8/5/11,6.4401
8/8/11,6.4342
8/9/11,6.4304
8/10/11,6.4172
8/11/11,6.3935
8/12/11,6.3892
8/15/11,6.3902
8/16/11,6.3818
8/17/11,6.3839
8/18/11,6.3873
8/19/11,6.391
8/22/11,6.4004
8/23/11,6.3975
8/24/11,6.388
8/25/11,6.39
8/26/11,6.386
8/29/11,6.3809
8/30/11,6.3802
8/31/11,6.3778
9/1/11,6.3812
9/2/11,6.3821
